河北农民,rtp://239.253.92.176:6006
CCTV1,rtp://239.253.92.83:8012
CCTV2,rtp://239.253.92.190:6065
CCTV3,rtp://239.253.92.191:6057
CCTV4,rtp://239.253.92.251:6141
CCTV5,rtp://239.253.92.181:6046
CCTV5＋,rtp://239.253.92.82:8013
CCTV6,rtp://239.253.92.193:6058
CCTV7,rtp://239.253.92.194:6059
CCTV8,rtp://239.253.92.195:6060
CCTV9,rtp://239.253.92.107:6020
CCTV10,rtp://239.253.92.196:6061
CCTV11,rtp://239.253.92.11:8006
CCTV12,rtp://239.253.92.197:6062
CCTV13,rtp://239.253.92.13:8008
CCTV15,rtp://239.253.92.14:8010
湖南卫视,rtp://239.253.92.84:8015
东南卫视,rtp://239.253.92.201:6146
浙江卫视,rtp://239.253.92.90:8020
江苏卫视,rtp://239.253.92.88:8018
北京卫视,rtp://239.253.92.87:8014
东方卫视,rtp://239.253.92.89:8019
天津卫视,rtp://239.253.92.91:8021
深圳卫视,rtp://239.253.92.86:8017
山东卫视,rtp://239.253.92.207:8109
广东卫视,rtp://239.253.92.206:8108
辽宁卫视,rtp://239.253.92.115:6056
安徽卫视,rtp://239.253.92.209:6566
四川卫视,rtp://239.253.92.16:6043
河北卫视,rtp://239.253.92.154:6011
河北经济,rtp://239.253.92.171:6001
