CCTV-1高清,rtp://239.253.92.83:8012
CCTV-2高清,rtp://239.253.92.190:6065
CCTV-3高清,rtp://239.253.92.191:6057
CCTV-4高清,rtp://239.253.92.251:6141
CCTV-5高清,rtp://239.253.92.181:6046
CCTV-6高清,rtp://239.253.92.193:6058
CCTV-7高清,rtp://239.253.92.194:6059
CCTV-8高清,rtp://239.253.92.195:6060
CCTV-9高清,rtp://239.253.92.107:6020
CCTV-10高清,rtp://239.253.92.196:6061
CCTV-11,rtp://239.253.92.11:8006
CCTV-12高清,rtp://239.253.92.197:6062
CCTV-13,rtp://239.253.92.13:8008
CCTV-14高清,rtp://239.253.92.198:6063
CCTV-15,rtp://239.253.92.14:8010
CGTN,rtp://239.253.92.15:8011
CCTV-5＋高清,rtp://239.253.92.82:8013
河北卫视高清,rtp://239.253.92.154:6011
石家庄新闻综合高清,rtp://239.253.92.149:6035
湖南卫视高清,rtp://239.253.92.84:8015
浙江卫视高清,rtp://239.253.92.90:8020
江苏卫视高清,rtp://239.253.92.88:8018
北京卫视高清,rtp://239.253.92.87:8014
东方卫视高清,rtp://239.253.92.89:8019
天津卫视高清,rtp://239.253.92.91:8021
深圳卫视高清,rtp://239.253.92.86:8017
山东卫视高清,rtp://239.253.92.207:8109
广东卫视高清,rtp://239.253.92.206:8108
黑龙江卫视高清,rtp://239.253.92.85:8016
辽宁卫视高清,rtp://239.253.92.115:6056
安徽卫视高清,rtp://239.253.92.209:6566
湖北卫视高清,rtp://239.253.92.210:6567
四川卫视高清,rtp://239.253.92.16:6043
重庆卫视高清,rtp://239.253.92.10:6053
河南卫视高清,rtp://239.253.92.137:6144
金鹰纪实高清,rtp://239.253.92.103:6054
纪实高清,rtp://239.253.92.99:6013
中国教育-1高清,rtp://239.253.92.211:6069
贵州卫视高清,rtp://239.253.92.105:6055
江西卫视高清,rtp://239.253.92.19:6145
东南卫视高清,rtp://239.253.92.201:6146
吉林卫视高清,rtp://239.253.92.202:6147
CCTV-1,rtp://239.253.92.1:8101
CCTV-2,rtp://239.253.92.2:8001
CCTV-3,rtp://239.253.92.67:6007
CCTV-4,rtp://239.253.92.55:8002
CCTV-5,rtp://239.253.92.62:6008
CCTV-6,rtp://239.253.92.63:6009
CCTV-7,rtp://239.253.92.7:8003
CCTV-8,rtp://239.253.92.64:6010
CCTV-9,rtp://239.253.92.9:8004
CCTV-10,rtp://239.253.92.58:8005
CCTV-12,rtp://239.253.92.59:8007
CCTV-14,rtp://239.253.92.60:8009
河北卫视,rtp://239.253.92.170:6000
河北经济,rtp://239.253.92.171:6001
河北都市,rtp://239.253.92.172:6002
河北影视,rtp://239.253.92.173:6003
河北少儿科教,rtp://239.253.92.174:6004
河北公共,rtp://239.253.92.175:6005
河北农民,rtp://239.253.92.176:6006
石家庄新闻综合,rtp://239.253.92.92:8119
石家庄娱乐,rtp://239.253.92.93:8120
石家庄生活,rtp://239.253.92.94:8121
石家庄都市,rtp://239.253.92.95:8122
湖南卫视,rtp://239.253.92.68:8022
浙江卫视,rtp://239.253.92.72:8023
江苏卫视,rtp://239.253.92.70:8024
安徽卫视,rtp://239.253.92.69:8025
北京卫视,rtp://239.253.92.61:8026
天津卫视,rtp://239.253.92.37:8127
辽宁卫视,rtp://239.253.92.30:8028
山东卫视,rtp://239.253.92.38:8029
云南卫视,rtp://239.253.92.28:8030
河南卫视,rtp://239.253.92.33:8031
黑龙江卫视,rtp://239.253.92.50:8032
四川卫视,rtp://239.253.92.73:8033
江西卫视,rtp://239.253.92.71:8034
贵州卫视,rtp://239.253.92.31:8035
深圳卫视,rtp://239.253.92.161:8036
湖北卫视,rtp://239.253.92.35:8037
东方卫视,rtp://239.253.92.49:8038
重庆卫视,rtp://239.253.92.75:8039
东南卫视,rtp://239.253.92.29:8040
广东卫视,rtp://239.253.92.34:8042
广西卫视,rtp://239.253.92.76:8043
吉林卫视,rtp://239.253.92.51:8044
陕西卫视,rtp://239.253.92.36:8045
山西卫视,rtp://239.253.92.44:8046
内蒙古卫视,rtp://239.253.92.45:8047
青海卫视,rtp://239.253.92.47:8048
旅游卫视,rtp://239.253.92.77:8049
宁夏卫视,rtp://239.253.92.32:8050
西藏卫视,rtp://239.253.92.42:8051
新疆卫视,rtp://239.253.92.41:8052
甘肃卫视,rtp://239.253.92.48:8053
卡酷动画,rtp://239.253.92.162:8054
金鹰卡通,rtp://239.253.92.163:8055
第一剧场,rtp://239.253.92.18:6079
风云剧场,rtp://239.253.92.22:6073
怀旧剧场,rtp://239.253.92.98:6120
风云音乐,rtp://239.253.92.111:8060
风云足球,rtp://239.253.92.110:8061
高尔夫网球,rtp://239.253.92.117:8062
国防军事,rtp://239.253.92.119:8065
世界地理,rtp://239.253.92.113:8066
老故事,rtp://239.253.92.132:8068
环球奇观,rtp://239.253.92.130:8069
文物宝库,rtp://239.253.92.159:8070
CETV-2,rtp://239.253.92.108:6136
CETV-4,rtp://239.253.92.200:6137
全纪实,rtp://239.253.92.205:8107
劲爆体育HD,rtp://239.253.92.140:6132
游戏风云HD,rtp://239.253.92.6:6122
HD全纪实HD,rtp://239.253.92.74:6124
魅力音乐HD,rtp://239.253.92.78:6125
电竞世界,rtp://239.253.92.57:6140
